title,release_date,tagline
Twixt,9/10/11,"Between the living and the dead, eviil is waiting."
The Snow Queen,10/11/12,"Cold can freeze your heart, love can set you free"
Alpha and Omega: The Legend of the Saw Tooth Cave,7/21/14,
Pale Rider,6/28/85,... and hell followed with him.
Stargate: The Ark of Truth,3/11/08,The lines have been drawn. The battle has been waged. Only one thing can save us...
Dazed and Confused,9/24/93,See it with a bud.
High School Musical 2,8/17/07,
Two Lovers and a Bear,10/2/16,
Criminal Activities,11/20/15,Leave the crime to the criminals
Aimee & Jaguar,2/10/99,
The Chumscrubber,6/8/05,Fear. Trust. Love.
Shade,5/18/03,"Lie, cheat, steal... your deal!"
House at the End of the Street,9/21/12,Fear reaches out... for the girl next door.
Incendies,9/4/10,The search began at the opening of their mother's will.
"Remember Me, My Love",2/11/03,Some loves are never forgotten
Perrier’s Bounty,9/11/09,Blood is thicker than water. Nothing is thicker than thieves.
Elite Squad,10/12/07,On the streets of Rio only the elite survive
Annabelle,10/2/14,"Before the Conjuring, there was Annabelle."
Bran Nue Dae,8/9/09,Bran Nue Dae
Boyz n the Hood,7/12/91,Once upon a time in South Central L.A... It ain't no fairy tale.
La Bamba,7/24/87,Born into poverty. Destined for stardom. He lived the American dream.
The Four Seasons,5/22/81,
Dressed to Kill,6/25/80,The Latest Fashion In Murder
The Adventures of Huck Finn,4/2/93,For anyone who has ever dreamed of running away from it all
Go,4/9/99,A weekend wasted is never a wasted weekend.
Friends with Money,9/7/06,
The Andromeda Strain,3/12/71,The picture runs 130 minutes!... The story covers 96 of the most critical hours in man's history!... The suspense will last through your lifetime!
Bats,10/22/99,They will suck you dry
Nowhere in Africa,12/11/01,One family's tale of a homeland lost... and a homeland found.
Shame,10/2/11,
Layer Cake,9/30/04,
The Work and the Glory II: American Zion,10/21/05,
The East,5/31/13,"Spy on us, we'll spy on you."
A Home at the End of the World,7/23/04,Family can be whatever you want it to be.
Aberdeen,7/5/00,
The Messenger,11/13/09,The Scars of War Will Last Forever
Tracker,5/20/10,
Control,9/26/07,
The Terminator,10/26/84,Your future is in his hands.
"Good bye, Lenin!",2/9/03,The German Democratic Republic lives on -- in 79 square meters!
The Damned United,3/27/09,They love me for what I'm not... ...they hate me for what I am.
The Return of the Living Dead,5/15/85,They're Back From The Grave and Ready To Party!
Mallrats,10/20/95,They're not there to shop. They're not there to work. They're just there.
Grease,7/7/78,Grease is the word
Platoon,12/18/86,The first casualty of war is innocence.
Fahrenheit 9/11,6/25/04,Controversy... what controversy?
Butch Cassidy and the Sundance Kid,9/23/69,"Not that it matters, but most of it is true."
Mary Poppins,8/27/64,It's supercalifragilisticexpialidocious!
Ordinary People,9/19/80,Everything is in its proper place...except the past.
West Side Story,10/18/61,The screen achieves one of the great entertainments in the history of motion pictures
Caddyshack,7/25/80,The snobs against the slobs!
The Brothers,3/23/01,
The Wood,7/16/99,From best friends to best men.
The Usual Suspects,7/19/95,Five Criminals. One Line Up. No Coincidence.
A Nightmare on Elm Street 5: The Dream Child,8/11/89,"Now Freddy’s a daddy, he’s killing for two."
National Lampoon’s Van Wilder,3/29/02,Don't Graduate. Celebrate.
The Wrestler,9/7/08,Love. Pain. Glory.
Duel in the Sun,12/31/46,Emotions . . . As Violent As The Wind-Swept Prairie !
Best in Show,9/19/00,Some pets deserve a little more respect than others.
Escape from New York,5/22/81,1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.
School Daze,2/12/88,
Daddy Day Camp,8/8/07,The summer is going to be in tents.
Mr. Nice Guy,1/31/97,Fight first. Apologize later.
A Mighty Wind,4/16/03,"Back together for the first time, again."
Mystic Pizza,10/13/88,A Romantic Comedy With The Works
Sliding Doors,4/23/98,What if one split second sent your life in two completely different directions?.
Tales from the Hood,5/24/95,Chill or be Chilled
The Last King of Scotland,9/1/06,Charming. Magnetic. Murderous.
Halloween 5: The Revenge of Michael Myers,10/12/89,"Michael Lives, And This Time They're Ready!"
Bernie,4/27/12,A story so unbelievable it must be true.
Dolphins and Whales: Tribes of the Ocean,2/15/08,
Pollock,9/6/00,A true portrait of life and art.
200 Cigarettes,2/26/99,It's 11:59 on New Years Eve... do you know where your date is?
The Words,9/7/12,There's more than one way to take a life.
Casa De Mi Padre,3/15/12,Funniest movie you'll ever read.
City Island,3/6/09,Truth is stranger than family
The Guard,7/7/11,The FBI are about to discover that things work a little differently around here.
College,8/28/08,
The Virgin Suicides,4/21/99,"Beautiful, mysterious, haunting, invariably fatal. Just like life."
Little Voice,11/5/98,Finding your own voice can be magic.
Miss March,3/13/09,"After four years in a coma, Eugene Pratt is going to be reunited with his high school sweetheart... on pages 95-97."
Wish I Was Here,1/18/14,Life is an occasion. Rise to it.
Simply Irresistible,2/5/99,Magic opened up their hearts... Love did the rest.
Hedwig and the Angry Inch,7/20/01,An anatomically incorrect rock odyssey
Only the Strong,8/27/93,The ultimate martial art.
Goddess of Love,8/31/15,Be Careful Who You Get Close To
Shattered Glass,11/14/03,
Novocaine,11/23/01,
The Business of Strangers,1/19/01,
The Wild Bunch,6/17/69,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."
The Wackness,7/3/08,
The First Great Train Robbery,1/25/79,Never have so few taken so much from so many.
Morvern Callar,1/1/02,
Beastmaster 2: Through the Portal of Time,6/8/91,
The 5th Quarter,3/25/11,Rising from tragedy to triumph
The Flower of Evil,2/9/03,
The Greatest,1/17/09,
Snow Flower and the Secret Fan,7/15/11,
Come Early Morning,1/10/06,"Before you fall in love, you need to love yourself."
Lucky Break,8/24/01,
Julia,10/2/77,The story of two women whose friendship suddenly became a matter of life and death.
"Surfer, Dude",9/5/08,
Lake of Fire,9/9/06,Exploring the Issue that Divides the World
11:14,5/16/03,Fate can change in seconds.
Men of War,9/4/94,"Killers for hire are paid for what they can do, not for what they believe... until today."
Don McKay,4/24/09,Some secrets are better left buried.
Deadfall,11/8/12,Twisty thriller... a wild ride.
A Shine of Rainbows,10/1/09,An abandoned child brings the colors of love into their lives.
The Hit List,4/2/11,Who's on your list?
Emma,10/11/09,
Videodrome,2/4/83,First it controls your mind. Then it destroys your body.
The Spanish Apartment,5/17/02,"They came from Paris, Rome, London and Berlin to... the Spanish Apartment... where a year can change a lifetime."
Song One,1/20/14,A moment can change everything.
Winter in Wartime,11/17/08,"In 1945 Holland, a boy must choose between good and evil."
Freaky Deaky,4/22/12,Crime is such a trippy thing
The Train,9/21/64,"It carried their hopes, their nation's honour!"
Trade Of Innocents,9/27/12,Justice needs a hero
The Protector,8/11/05,Vengeance Knows No Mercy
Stiff Upper Lips,6/12/98,
Bend It Like Beckham,4/11/02,"Sometimes, to follow your dreams... you've got to bend the rules!"
Sunshine State,6/21/02,Greetings from ...
Crossover,9/1/06,
Khiladi 786,12/7/12,
[REC]²,9/15/09,Fear Revisited
Standing Ovation,7/16/10,Dance - Sing - Dream
The Sting,12/25/73,...all it takes is a little confidence.
Chariots of Fire,5/15/81,"This is the story of two men who run, not to run, but to prove something to the world. They will sacrifice anything to achieve their goals... except their honor."
Diary of a Mad Black Woman,2/25/05,Time heals the heart. Faith heals the rest.
Shine,1/21/96,A true story of the mystery of music and the miracle of love
Don Jon,7/26/13,Everyone loves a happy ending.
High Plains Drifter,4/19/73,Welcome to Hell
Ghost World,7/20/01,Accentuate the negative.
Iris,12/14/01,
Galaxina,6/6/80,She's too good to be true...and too real to be otherwise.
The Chorus,3/17/04,
Mambo Italiano,6/6/03,Things change. Family doesn't.
Wonderland,10/23/03,"Sex, drugs, murder. Welcome to L.A."
Do the Right Thing,6/30/89,"It's the hottest day of the summer. You can do nothing, you can do something, or you can..."
Harvard Man,1/1/01,"Passion, Seduction, Deception."
Le Havre,5/17/11,
Irreversible,5/22/02,Time destroys everything.
R100,10/5/13,M For Father
Rang De Basanti,1/26/06,A Generation Awakens
Animals,5/15/14,
Salvation Boulevard,7/15/11,Faith alone doesn’t cut it anymore
The Ten,8/3/07,"If He'd meant the commandments literally, He'd have written them in stone."
A Room for Romeo Brass,8/23/99,
Headhunters,8/4/11,The hunt is on.
Grabbers,8/10/12,"For the locals on Erin Island, it's last orders."
Saint Ralph,9/11/04,He's hoping for a miracle. He doesn't have a prayer.
Miss Julie,9/7/14,Love is a foolish game
Somewhere in Time,10/2/80,Beyond fantasy. Beyond obsession. Beyond time itself... he will find her.
Dum Maaro Dum,4/22/11,Goa. Paradise on Earth. But every Paradise has a few snakes.
Insidious: Chapter 2,9/12/13,It will take what you love most.
Saw II,10/28/05,Oh Yes... There Will Be Blood.
10 Cloverfield Lane,3/10/16,Monsters come in many forms.
Jackass: The Movie,10/21/02,Do not attempt this at home.
Lights Out,7/21/16,
Paranormal Activity 3,10/19/11,It Runs In The Family
Ouija,10/24/14,Keep telling yourself it's just a game
A Nightmare on Elm Street 3: Dream Warriors,2/27/87,"If you think you're ready for Freddy, think again!"
Instructions Not Included,7/20/13,Life doesn't care if you're ready.
Paranormal Activity 4,10/17/12,It's closer than you think
The Robe,9/16/53,The first motion picture in CinemaScope--the modern miracle you see without glasses!
The Return of the Pink Panther,5/21/75,
Freddy's Dead: The Final Nightmare,9/5/91,They saved the best for last.
Monster,11/16/03,The first female serial killer of America
"20,000 Leagues Under the Sea",12/23/54,The mightiest motion picture of them all!
Paranormal Activity: The Marked Ones,1/1/14,You're one of us now.
The Elephant Man,10/2/80,I am not an animal! I am a human being! I... am... a man!
Dallas Buyers Club,9/7/13,Sometimes it takes a hustler to change the world
The Lazarus Effect,1/29/15,Evil will rise.
Memento,10/11/00,Some memories are best forgotten.
Oculus,9/8/13,You see what it wants you to see
Clerks II,5/25/06,With No Power Comes No Responsibility
Billy Elliot,5/18/00,Inside every one of us is a special talent waiting to come out. The trick is finding it.
The Way Way Back,6/6/13,We've all been there.
House Party 2,10/23/91,
The Man from Snowy River,3/2/82,The story of a boy suddenly alone in the world. The men who challenge him. And the girl who helps him become a man.
Doug's 1st Movie,3/26/99,You'll Dig Doug!
The Apostle,10/9/97,The hardest soul to save was his own.
Mommie Dearest,9/18/81,The meanest mother of them all
Our Idiot Brother,8/26/11,Everybody has one
Race,2/19/16,The incredible true story of gold medal champion Jesse Owens
The Players Club,4/8/98,"Here, we get down and dirty."
"As Above, So Below",8/14/14,The only way out is down.
Addicted,10/10/14,Every Woman Needs an Escape
Eve's Bayou,9/7/97,The secrets that hold us together can also tear us apart.
Still Alice,12/5/14,
The Egyptian,8/25/54,"To Nefer, shameless temptress of Babylon, he surrendered his parents' hope of immortality!"
Nighthawks,3/17/81,A terrorist holds New York in a grip of fear - and only Stallone can take him on.
Friday the 13th Part VIII: Jason Takes Manhattan,7/28/89,The Big Apple's in BIG trouble!
My Big Fat Greek Wedding,2/22/02,Love is here to stay... so is her family.
Spring Breakers,1/24/13,A little sun can bring out your dark side.
Halloween: The Curse of Michael Myers,9/29/95,Haddonfield is ready to celebrate Halloween.... so is Michael Myers!
Y Tu Mamá También,6/8/01,Life has its ways of teaching. Life has its ways to confuse us. Life has its ways to move us. Life has its ways to amaze. Life has its ways to hurt us. Life has its ways to heal. Life has its ways to inspire.
Shaun of the Dead,4/9/04,A romantic comedy. With zombies.
The Haunting of Molly Hartley,10/31/08,Her past is yet to come.
Lone Star,6/21/96,John Sayles invites you to return to the scene of the crime.
Halloween 4: The Return of Michael Myers,10/21/88,Horror has returned to Haddonfield.
April Fool's Day,3/27/86,Childish pranks turn into a bloody battle for survival!
Diner,4/2/82,"Suddenly, life was more than French fries, gravy, and girls."
Lone Wolf McQuade,4/14/83,The 'Mad Dog' Criminal...The 'Lone Wolf' Lawman...The Ultimate Showdown.
Apollo 18,7/20/11,There's a reason we've never gone back to the moon.
Sunshine Cleaning,1/18/08,life's a messy business.
No Escape,8/26/15,No rescue. No refuge.
The Beastmaster,8/20/82,"Born with the courage of an eagle, the strength of a black tiger, and the power of a god."
Solomon and Sheba,12/25/59,Only once in 3000 years...anything like...
Fifty Shades of Black,1/28/16,Way shadier than gray.
Not Easily Broken,1/9/09,
A Farewell to Arms,12/8/32,Every woman who has loved will understand
The Perfect Match,3/11/16,t's what everyone's looking for
Digimon: The Movie,3/17/00,
Saved!,1/21/04,
The Barbarian Invasions,5/21/03,"A provocative new comedy about sex, friendship, and all other things that invade our lives."
Robin and Marian,3/11/76,Love is the greatest adventure of all.
The Forsaken,4/27/01,The night... has an appetite.
Force 10 from Navarone,11/1/78,
UHF,7/21/89,"A lot of TV stations have forgotten what ""quality"" means, but not Channel 62. They NEVER knew what it meant."
Grandma's Boy,1/6/06,A movie that proves you're never too old to come of age.
Slums of Beverly Hills,8/14/98,Growing Up is Hard to Do
Once Upon a Time in the West,12/21/68,There were three men in her life. One to take her... one to love her... and one to kill her.
Made,7/13/01,Welcome to disorganized crime.
Moon,6/12/09,The last place you'd ever expect to find yourself.
Keeping Up with the Steins,5/12/06,A 13-year-old boy uses his upcoming bar mitzvah to reconcile the strained relationship between his father and grandfather.
Sea Rex 3D: Journey to a Prehistoric World,5/14/10,The T-Rex of the Seas come alive.
The Sweet Hereafter,5/14/97,There is no such thing as the simple truth.
Of Gods and Men,5/18/10,"In the face of terror, their greatest weapon was faith..."
Bottle Shock,8/6/08,"Based on a true story of love, victory, and fermentation"
Jekyll and Hyde ... Together Again,11/10/82,The comedy that examines modern living through chemistry
Heavenly Creatures,9/2/94,From a secret world no one could see... came a crime no one could believe.
90 Minutes in Heaven,9/11/15,Hope lives
Everything Must Go,10/15/10,Lost is a good place to find yourself
Zero Effect,1/30/98,The world's most private detective.
The Machinist,2/9/04,A little guilt goes a long way...
Light Sleeper,8/21/92,He was a good man in a deadly business. She was his only way out.
Kill the Messenger,10/9/14,Can you keep a national secret?
Rabbit Hole,12/16/10,The only way out is through.
Party Monster,9/5/03,'Til death do they party...
Green Room,4/15/16,One way in. No way out.
The Oh in Ohio,3/30/06,One woman's story is about to climax.
Atlas Shrugged Part III: Who is John Galt?,9/12/14,Who is John Galt?
Bottle Rocket,2/21/96,"They're not really criminals, but everyone's got to have a dream."
Albino Alligator,9/9/96,They Planned The Perfect Crime... Until It All Went Perfectly Wrong!
"Gandhi, My Father",8/3/07,To the People...He was a Father. To his Son...he was a Father he never had.
Standard Operating Procedure,2/12/08,
Out of the Blue,5/1/80,A harrowing drama from the director of Easy Rider
Tucker and Dale vs Evil,1/22/10,Evil just messed with the wrong hillbillies.
"Lovely, Still",1/1/08,"Something mysterious, new, unexpected and lovely is happening to Robert Malone."
Tycoon,12/27/47,Breath-taking Adventure !
Desert Blue,6/6/99,"Once You Get There, You'll Never Want To Leave"
Decoys,2/27/04,They can seduce anyone... Prey it isn't you!
The Visit,9/10/15,No one loves you like your grandparents.
Redacted,1/1/07,
Fascination,10/13/04,
Area 51,5/15/15,
Sleep Tight,10/14/11,Someone is watching over you
The Cottage,2/7/08,Sleeps Six Bloody Comfortably
Dead Like Me: Life After Death,2/17/09,
Farce of the Penguins,12/1/06,What Happens In Antarctica... Stays in Antarctica
Flying By,1/1/09,It's about the music
Rudderless,10/17/14,The way back begins with a single chord.
Henry & Me,8/18/14,
Christmas Eve,12/4/15,They'll be home for Christmas...if only in their dreams.
We Have Your Husband,11/12/11,
Dying of the Light,12/4/14,
Born Of War,12/5/13,
Capricorn One,12/10/77,The mission was a sham. The murders were real.
Should've Been Romeo,4/28/12,Even Shakespeare didn't see this one coming.
Running Forever,10/27/15,
Yoga Hosers,7/8/16,Do your 'wurst...
Navy Seals vs. Zombies,10/8/15,
I Served the King of England,12/19/06,
Soul Kitchen,9/9/09,
Sling Blade,8/30/96,A simple man. A difficult choice.
The Awakening,8/17/11,Sometimes dead does not mean gone.
Hostel,1/6/05,Welcome To Your Worst Nightmare
A Cock and Bull Story,7/17/05,Because everyone loves an accurate period piece.
Take Shelter,11/25/11,
Lady in White,4/22/88,"The year is 1962. The place is Willowpoint Falls. Nobody talks about what happened in the school cloakroom 10 years ago. Now, in the dead of night, Frankie Scarlatti is going to find out why."
Driving Lessons,4/30/06,
Let's Kill Ward's Wife,12/23/14,Real Friends Do the Dirty Work.
The Texas Chainsaw Massacre 2,8/22/86,After a decade of silence... The buzzz is back!
Pat Garrett & Billy the Kid,5/23/73,Best of enemies. Deadliest of friends.
Only God Forgives,5/30/13,Time to Meet The Devil
Camping Sauvage,10/13/05,
Without Men,6/29/11,
Dear Frankie,5/18/04,
All Hat,9/11/07,
The Names of Love,11/24/10,"Make Love, Not War"
Treading Water,9/13/13,Mica is a perfectly normal boy. Well he would be if he didn't smell of fish.
Savage Grace,5/18/07,Truth is more shocking than fiction.
Out of the Blue,10/12/06,The true story of a small town massacre
Police Academy,3/22/84,What an Institution!
The Blue Lagoon,7/5/80,A sensuous story of natural love.
Four Weddings and a Funeral,3/9/94,Five good reasons to stay single.
Fast Times at Ridgemont High,8/13/82,"Fast Cars, Fast Girls, Fast Carrots...Fast Carrots?"
Moby Dick,6/27/56,"From the immortal adventure classic...of whaling men, their ships, and the sea!"
25th Hour,12/16/02,This life was so close to never happening.
Bound,9/13/96,"In their world, you can't buy freedom, but you can steal it."
Requiem for a Dream,10/27/00,
State Fair,8/29/45,
Tango,2/12/98,Tango: do not ever leave me
Salvador,4/23/86,Based on a true story.
Moms' Night Out,3/25/14,What could go wrong?
Donnie Darko,1/18/01,You can never go too far
Saving Private Perez,3/18/11,
Character,4/17/97,
Spun,6/1/02,The ultimate speed freak's tale.
Life During Wartime,10/10/09,
Sympathy for Lady Vengeance,7/29/05,All she wanted was a peaceful life... they didn't give it.
Mozart's Sister,6/9/10,
Mean Machine,12/26/01,"It's Not Just About Football, It's About Pride Inside!"
Exiled,9/6/06,
Blackthorn,8/31/11,No destiny
Lilya 4-ever,8/23/02,
After.Life,4/9/10,Life is the symptom. Death is the cure.
Fugly,6/13/14,
One Flew Over the Cuckoo's Nest,11/18/75,"If he's crazy, what does that make you?"
R.L. Stine's Monsterville: The Cabinet of Souls,9/29/15,
Silent Movie,6/17/76,
Airlift,1/22/16,"170,000 Refugees, 488 Flights, 59 Days, 1 Man"
Anne of Green Gables,12/1/85,
Falcon Rising,9/5/14,
The Sweeney,9/11/12,Act like a criminal to catch a criminal.
Sexy Beast,9/13/00,There's a bit of the beast in all of us.
Easy Money,1/15/10,
Whale Rider,1/30/03,
Paa,12/4/09,
Cargo,9/24/09,
High School Musical,1/20/06,This School Rocks Like No Other!
Love and Death on Long Island,1/1/97,
Night Watch,6/27/04,All That Stands Between Light And Darkness Is The Night Watch.
The Crying Game,9/2/92,Play At Your Own Risk.
Porky's,11/13/81,Keep an eye out for the funniest movie about growing up ever made!
Survival of the Dead,5/6/10,Death isn't what it used to be.
Night of the Living Dead,10/1/68,"If it doesn't scare you, you're already dead!"
Lost in Translation,8/31/03,Everyone wants to be found.
Annie Hall,4/19/77,A nervous romance.
The Greatest Show on Earth,1/10/52,
Monster's Ball,11/11/01,A lifetime of change can happen in a single moment.
Maggie,5/8/15,Don't Get Bitten
Leaving Las Vegas,10/27/95,I Love You... The Way You Are.
Hansel and Gretel Get Baked,2/19/13,
The Front Page,12/1/74,
The Boy Next Door,1/23/15,A Moment She Couldn't Resist. An Obsession He Can't Control.
Trapeze,5/30/56,"High...High...High...Above Them All! - in excitement! - in spectacle! - in fire, flesh and fury!"
The Kids Are All Right,7/9/10,"Nic and Jules had the perfect family, until they met the man who made it all possible."
They Live,11/23/88,Who are they? And what do they want?
The Great Escape,6/20/63,Put a fence in front of these men... and they'll climb it!
What the #$*! Do We (K)now!?,4/23/04,Time to get wise.
The Last Exorcism Part II,2/28/13,The second coming
Boyhood,6/5/14,12 years in the making.
Scoop,7/27/06,The perfect man. The perfect story. The perfect murder.
The Wash,11/16/01,"When you're down 'n dirty, it all comes out in..."
3 Strikes,3/1/00,"the few, the proud, the paroled."
The Cooler,1/17/03,When your life depends on losing... the last thing you need is lady luck.
The Misfits,1/1/61,It shouts and sings with life ... explodes with love!
The Night Listener,2/12/06,You never know who's listening.
The Jerky Boys,2/3/95,
The Orphanage,8/27/07,A tale of love.  A story of horror.
A Haunted House 2,4/17/14,It'll scare the #2 out of you.
The Rules of Attraction,10/11/02,We all run on instinct
Topaz,12/18/69,Hitchcock takes you behind the actual headlines to expose the most explosive spy scandal of the century!
Let's Go to Prison,11/17/06,Welcome to the slammer
Four Rooms,12/9/95,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
Secretary,1/11/02,Assume the position.
The Real Cancun,4/23/03,
Talk Radio,12/21/88,The last neighborhood in America.
Waiting for Guffman,1/31/96,There's a good reason some talent remains undiscovered.
Love Stinks,9/10/99,
You Kill Me,2/9/07,Professional alcoholic hit man gets life back on track thanks to her
Thumbsucker,1/23/05,
Red State,8/19/11,Fear God.
Mirrormask,1/25/05,The Other Side of Reason. The Other Side of Fate. The Other Side of Truth.
Samsara,9/16/11,
The Barbarians,3/1/87,Warriors. Conquerors. Heroes.
The Art of Getting By,6/17/11,The toughest lesson is love.
Zipper,8/28/15,Why take the risk
Poolhall Junkies,6/7/02,It's your shot. Take it.
The Loss of Sexual Innocence,4/29/99,
Holy Motors,7/2/12,"From dawn to dusk, a few hours in the shadowy life of a mystic man named Monsieur Oscar."
Joe,4/11/14,
Shooting Fish,8/22/97,Fat cats are too easy. Go for the big fish.
Prison,3/4/88,Horror Has A New Home.
Psycho Beach Party,8/6/00,Party till you drop. Dead.
The Big Tease,1/1/99,He saw. He combed. He conquered.
"Guten Tag, Ramón",10/18/13,
Trust,9/10/10,"What took her family years to build, a stranger stole in an instant."
An Everlasting Piece,12/22/00,Piece on Earth.
Among Giants,6/24/98,"a love story from the writer of ""The Full Monty""."
Adore,4/3/13,
The Velocity of Gary,7/16/99,*(Not His Real Name)
Mondays in the Sun,9/27/02,This film is not based on a real story. It is based on thousands.
Stake Land,9/30/10,The Most Dangerous Thing Is To Be Alive.
The Last Time I Committed Suicide,6/20/97,Life is what happens when you're busy making plans
Futuro Beach,5/1/14,A hero split in half.
Another Happy Day,11/18/11,"At this wedding, the F-word stands for Family"
A Lonely Place to Die,4/9/11,"Out here, there's nowhere to hide."
Nothing,9/9/03,
The Geographer Drank His Globe Away,7/26/13,
1776,11/9/72,The award winning musical comes to the screen!
Inescapable,9/14/12,You can never escape your past
Hell's Angels,11/15/30,Howard Hughes' Thrilling Multi-Million Dollar Air Spectacle
Purple Violets,4/30/07,A second chance for a first love.
The Veil,4/21/16,The dead come back
The Loved Ones,9/13/09,Don't break her heart
The Helpers,10/27/12,Can we help you?
How to Fall in Love,7/21/12,
The Perfect Wave,2/28/14,
A Man for All Seasons,12/12/66,...a motion picture for all times!
Network,11/1/76,Not since the dawn of time has America experienced a man like Howard Beale!
Gone with the Wind,12/15/39,The greatest romance of all time!
Desert Dancer,7/3/14,Be Brave. Be Bold. Be Free.
Major Dundee,4/7/65,
Annie Get Your Gun,5/17/50,
Four Lions,5/7/10,We are 4 Lions.
The House of Sand,5/13/05,
Defendor,9/12/09,An unexpected hero will rise.
The Pirate,6/11/48,The great MGM musical romance
The Good Heart,9/11/09,Everyone needs a refuge from the world.
The History Boys,10/2/06,History. It's just one bloody thing after another.
Midnight Cowboy,5/25/69,Whatever you hear about Midnight Cowboy is true.
The Full Monty,8/13/97,The year's most revealing comedy.
Airplane!,7/2/80,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?"
Chain of Command,8/30/15,"When duty calls, plans change"
Friday,4/26/95,A lot can go down between thursday and saturday...
Menace II Society,5/26/93,This is the truth. This is what's real.
Creepshow 2,5/1/87,"When the curtain goes up, the terror begins."
The Ballad of Cable Hogue,5/13/70,
In Cold Blood,12/14/67,
The Nun's Story,6/18/59,Her Faith Remained Strong and True in the Face of Africa's Terrors!
Harper,2/23/66,Harper takes a case - and the payoff is murder.
Frenzy,5/25/72,Just an ordinary necktie used with a deadly new twist.
The Witch,2/19/16,Evil takes many forms.
I Got the Hook Up,5/27/98,A truckload of cell phones... turns into a boatload of cash!
She's the One,8/26/96,A romantic comedy about two brothers... and the one thing that came between them.
Gods and Monsters,1/21/98,
The Secret in Their Eyes,8/13/09,
Train,10/16/08,You're in for a hell of a ride.
Evil Dead II,3/13/87,The Sequel To The Ultimate Experience In Grueling Terror
Pootie Tang,6/29/01,Too cool for words.
Sharknado,7/11/13,Enough said!
The Other Conquest,4/1/99,The spirit of a people can never be conquered.
Troll Hunter,10/29/10,You believe it when you see it!
Ira & Abby,1/1/06,"First comes love, then comes marriage, then comes therapy."
Winter Passing,2/7/06,Sometimes you go looking for something you want. . . and find what you need.
D.E.B.S.,1/21/04,Evil is so totally busted!
The Masked Saint,1/8/16,
The Betrayed,9/27/08,What she doesn't know could kill her.
Taxman,9/16/99,"In life only two things are certain, death and taxes."
The Secret,4/29/16,
2:13,4/25/09,Killers Are Not Born ... They Are Made
"Batman: The Dark Knight Returns, Part 2",1/18/13,Justice Returns... Vengeance Returns... Redemption Comes to Gotham.
Time to Choose,9/4/15,Climate change for good.
In the Name of the King III,12/27/13,
Wicked Blood,3/4/14,The Ultimate Endgame
Stranded,6/5/15,Revenge comes at a price.
Lords of London,1/6/14,"In this city, crime is a family business."
High Anxiety,12/25/77,The Master of Comedy takes on The Master of Suspense!
March of the Penguins,1/26/05,"In the harshest place on Earth, love finds a way."
Margin Call,9/28/11,Be first. Be smarter. Or cheat.
August,6/9/11,
Choke,9/26/08,From the author of Fight Club
Whiplash,10/10/14,The road to greatness can take you to the edge.
City of God,2/5/02,"If you run you're dead... if you stay, you're dead again. Period."
Human Traffic,6/4/99,The Weekend has Landed!
To Write Love on Her Arms,3/13/15,Based on the True Story that started a Global Movement.
The Dead Girl,11/7/06,One life ends. Seven others begin.
The Hunt,8/28/12,The lie is spreading.
A Christmas Story,11/18/83,"Peace, Harmony, Comfort and Joy... Maybe Next Year."
Bella,9/9/06,One person can change your life forever
Class of 1984,8/20/82,Class of 1984. Is this the future?
The Opposite Sex,11/8/14,"A battle of the sexes, winner takes all."
Dreaming of Joseph Lees,10/29/99,
The Class,9/24/08,The dynamics of a multicultural class and its teacher will enlighten.
Rosemary's Baby,6/12/68,Pray for Rosemary's Baby
The Man Who Shot Liberty Valance,4/22/62,Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford
Adam,7/29/09,A story about two strangers. One a little stranger than the other...
Maria Full of Grace,1/18/04,"Based on 10,000 true stories."
Beginners,9/11/10,This is what love feels like.
Feast,10/14/05,
Animal House,7/27/78,It was the Deltas against the rules... the rules lost!
Goldfinger,9/17/64,Everything he touches turns into excitement!
Antiviral,9/19/12,What If You Could Feel Like They Do ...
It's a Wonderful Life,12/20/46,It's a wonderful laugh! It's a wonderful love!
Trainspotting,2/23/96,Choose life.
The Original Kings of Comedy,8/18/00,We Got Jokes
Paranormal Activity 2,10/20/10,In 2009 you demanded it. Nothing can prepare you for what's next.
Waking Ned,9/15/98,How far would you go to win a fortune!
Bowling for Columbine,10/9/02,One nation under the gun.
Coming Home,5/16/14,
A Nightmare on Elm Street Part 2: Freddy's Revenge,10/31/85,Someone is coming back to Elm Street!
A Room with a View,12/13/85,
The Purge,5/31/13,"One night a year, all crime is legal."
Sinister,3/29/12,"Once you see him, nothing can save you."
Martin Lawrence Live: Runteldat,8/1/02,
Cat on a Hot Tin Roof,2/17/58,Just one pillow on her bed ... and just one desire in her heart!
Beneath the Planet of the Apes,5/1/70,An army of civilized apes...A fortress of radiation-crazed super humans...Earth's final battle is about to begin - Beneath the atomic rubble of what was once the city of New York!
Air Bud,8/1/97,He Sits. He Stays. He Shoots. He Scores.
Pokémon: Spell of the Unknown,7/8/00,Pokémon: Spell of the Unknown
Friday the 13th Part VI: Jason Lives,8/1/86,Kill or be killed!
The Bridge on the River Kwai,10/2/57,It spans a whole new world of entertainment!
