title,release_date,tagline
How She Move,1/25/08,
Running Scared,1/6/06,Every bullet leaves a trail.
Bobby Jones: Stroke of Genius,4/30/04,
Shanghai Surprise,8/29/86,A romantic adventure for the dangerous at heart.
The Illusionist,8/18/06,Nothing Is What It Seems.
Roar,11/12/81,No animals were harmed in the making of this movie. 70 members of the cast and crew were.
Veronica Guerin,7/11/03,Why would anyone want to kill Veronica Guerin?
Escobar: Paradise Lost,10/11/14,Welcome to the family
Southland Tales,5/15/06,Have a nice apocalypse.
Dragon Hunters,3/19/08,Dragon hunting isn't a fairy tale
Damnation Alley,9/10/77,
The Apparition,8/23/12,Once You Believe You Die
My Girl,11/27/91,"When your Dad's an undertaker, your Mom's in heaven, and your Grandma's got a screw loose...it's good to have a friend who understands you. Even if he is a boy."
Fur: An Imaginary Portrait of Diane Arbus,8/30/06,A love story.
Wall Street,12/10/87,Every dream has a price.
Sense and Sensibility,12/13/95,Lose your heart and come to your senses.
Becoming Jane,3/2/07,Her own life is her greatest inspiration.
Sydney White,9/21/07,Freshman year is no fairytale
House of Sand and Fog,12/19/03,Some dreams can't be shared.
Dead Poets Society,6/2/89,He was their inspiration. He made their lives extraordinary.
Dumb and Dumber,12/16/94,"What the one doesn't have, the other is missing."
When Harry Met Sally...,7/21/89,Can two friends sleep together and still love each other in the morning?
The Verdict,12/8/82,"The doctors want to settle, the Church wants to settle, their lawyers want to settle, and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case."
Road Trip,5/19/00,The greatest college tradition of all.
Varsity Blues,1/15/99,It takes a hero to know what's worth winning.
The Artist,5/15/11,A Breath Of Fresh Vintage Air
The Unborn,1/9/09,Evil will do anything to live.
Moonrise Kingdom,5/16/12,A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.
The Texas Chainsaw Massacre: The Beginning,10/6/06,What you know about fear... doesn't even come close.
The Young Messiah,3/10/16,"Before he was the savior, he was a child."
The Master of Disguise,8/2/02,He can get into any disguise... getting out is another story.
Pan's Labyrinth,5/27/06,What happens when make-believe believes it's real?
See Spot Run,3/2/01,The Smart One Isn't Wearing Any Pants.
Baby Boy,6/27/01,Just a Baby Boy.
The Roommate,2/4/11,"2,000 colleges. 8 million roommates. Which one will you get?"
Joe Dirt,4/10/01,He Came. He Cleaned. He Conquered.
Double Impact,8/10/91,Two brothers separated by the violence. Now together in a mission of revenge.
Hot Fuzz,2/14/07,Big cops. Small town. Moderate violence.
The Women,9/12/08,
Vicky Cristina Barcelona,8/15/08,Life is the ultimate work of art
Arn: The Knight Templar,12/17/07,A Knight in the Holy Land. A Woman in the Frozen North. A War that Kept Them Apart.
Boys and Girls,6/16/00,Warning: Sex Changes Everything
White Oleander,10/11/02,
Jennifer's Body,9/18/09,She's evil... and not just high school evil.
Drowning Mona,3/3/00,"The death of Mona Dearly wasn't so much a whodunnit, as a who didn't."
Radio Days,1/30/87,
Remember Me,3/12/10,Live in the moments.
How to Deal,7/18/03,Rule #1 There are no rules.
My Stepmother is an Alien,12/9/88,Man's closest encounter.
Philadelphia,12/22/93,No one would take on his case... until one man was willing to take on the system.
The Thirteenth Floor,4/16/99,Question reality. You can go there even though it doesn't exist.
The Cookout,9/3/04,"This summer, get your grill on!"
Meteor,10/19/79,There's No Place On Earth To Hide!
Duets,9/9/00,Six littles souls in search of a little harmony.
Hollywood Ending,5/3/02,It's going to be a shot in the dark!
Detroit Rock City,8/13/99,Kiss The Rules Goodbye.
Highlander,3/7/86,There can be only one.
Things We Lost in the Fire,9/26/07,Hope comes with letting go.
Steel,8/15/97,Heroes don't come any bigger.
The Immigrant,7/3/13,
The White Countess,10/30/05,
Trance,3/27/13,Don't be a hero.
Soul Plane,5/28/04,Announcing the arrival of the first airline with soul.
Welcome to the Sticks,1/9/08,
Good,12/11/08,Anything that makes people happy can't be bad can it?
Enter the Void,5/5/09,
Vamps,8/25/12,Dating Sucks
Hachi: A Dog's Tale,6/13/09,"A true story of faith, devotion and undying love."
Zulu,12/4/13,
The Homesman,5/18/14,
Juwanna Mann,6/21/02,
Ararat,5/20/02,
Madison,1/23/01,A town's future is riding with one man.
Slow Burn,9/12/05,The truth is just a trick of light.
Wasabi,10/31/01,For those who take their action raw.
Slither,3/31/06,Horror Has A New Face
Beverly Hills Cop,11/29/84,The Heat Is On!
Home Alone,11/9/90,A Family Comedy Without the Family.
Three Men and a Baby,11/27/87,They changed her diapers. She changed their lives.
Tootsie,12/16/82,What do you get when you cross a hopelessly straight starving actor with a dynamite red sequined dress? You get America's hottest new actress.
Top Gun,5/16/86,Up there with the best of the best.
"Crouching Tiger, Hidden Dragon",10/1/00,"A timeless story of strength, secrets and two warriors who would never surrender."
American Beauty,9/15/99,Look closer.
The King's Speech,9/6/10,Find your voice.
Twins,12/9/88,Only their mother can tell them apart.
The Yellow Handkerchief,12/17/08,
The Color Purple,12/18/85,It's about life. It's about love. It's about us.
Tidal Wave,6/6/09,
The Imitation Game,11/14/14,The true enigma was the man who cracked the code.
Private Benjamin,10/6/80,
Coal Miner's Daughter,3/7/80,She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.
Diary of a Wimpy Kid,3/19/10,"It's not a diary, it's a movie."
Mama,1/17/13,A Mother's Love is Forever
National Lampoon's Vacation,7/28/83,Every summer Chevy Chase takes his family on a little trip. This year he went too far.
Bad Grandpa,10/22/13,Real people. Real reactions. Real messed up.
The Queen,9/15/06,Our Leaders. Ourselves.
Beetlejuice,2/29/88,He's guaranteed to put some life in your afterlife.
Why Did I Get Married?,10/12/07,Because we complete each other's sentences.
Little Women,12/21/94,"The story that has lived in our hearts for generations, now comes to the screen for the holidays."
The Woman in Black,2/1/12,What did they see?
When a Stranger Calls,2/3/06,"Whatever You Do, Don't Answer The Phone."
Big Fat Liar,2/8/02,The truth is never overrated
The Deer Hunter,12/8/78,One of the most important and powerful films of all time!
Wag the Dog,12/25/97,"A comedy about truth, justice and other special effects."
The Lizzie McGuire Movie,4/25/03,The only risk in taking an adventure is not taking it at all.
Snitch,2/21/13,How far would you go to save your son?
Krampus,11/26/15,You don't want to be on his list.
The Faculty,12/25/98,Take me to your teacher.
What's Love Got to Do with It,6/9/93,Who needs a heart when a heart can be broken?
Cop Land,8/15/97,No One Is Above The Law.
Not Another Teen Movie,12/7/01,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.
End of Watch,9/20/12,Every moment of your life they stand watch
The Skulls,3/31/00,Getting in is easy. Getting out is a killer.
The Theory of Everything,11/26/14,His Mind Changed Our World. Her Love Changed His.
Malibu's Most Wanted,4/10/03,
Where the Heart Is,4/27/00,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.
Lawrence of Arabia,12/10/62,
Halloween II,8/28/09,Family Is Forever
Wild,12/5/14,
The Last House on the Left,3/13/09,"If someone hurt someone you love, how far would you go to get revenge?"
The Wedding Date,2/4/05,Love doesn't come cheap.
Halloween: Resurrection,7/1/02,Evil finds its way home
The Princess Bride,9/18/87,It's as real as the feelings you feel.
The Great Debaters,12/27/07,"When the nation was in need, he inspired them to give us hope."
Drive,8/6/11,There are no clean getaways.
Confessions of a Teenage Drama Queen,2/17/04,She's making a scene over everything.
The Object of My Affection,4/17/98,Sometimes The Most Desirable Relationship Is The One You Can't Have
28 Weeks Later,4/26/07,When days turn to weeks... the horror returns.
When the Game Stands Tall,8/22/14,"Its Not How Hard You Fall, Its How You Get Back Up"
Because of Winn-Dixie,2/18/05,Discover what happens when you go looking for a miracle and a miracle comes looking for you.
Love & Basketball,4/21/00,All's fair in love and basketball.
Grosse Pointe Blank,4/11/97,Even a hit man deserves a second shot.
All About Steve,9/4/09,A Comedy That Clings
Book of Shadows: Blair Witch 2,10/27/00,Evil Doesn't Die.
The Craft,5/3/96,Welcome to the witching hour.
Match Point,10/26/05,Passion Temptation Obsession
Ramona and Beezus,7/23/10,A Little Sister Goes A Long Way.
The Remains of the Day,11/5/93,Diamond in the Rough
Boogie Nights,9/11/97,"The life of a dreamer, the days of a business, and the nights in between."
Nowhere to Run,1/15/93,"When the law can't protect the innocent,  the only hero left is an outlaw."
Flicka,10/20/06,
The Hills Have Eyes 2,3/22/07,Help isn't coming.
Urban Legends: Final Cut,9/19/00,Legends Never Die.
Tuck Everlasting,10/11/02,"If you could choose to live forever, would you?"
The Marine,10/13/06,War is Fine But The Fight Continues
Keanu,4/21/16,"Kitten, please."
Country Strong,12/22/10,It doesn't matter where you've been as long as you come back strong.
Disturbing Behavior,7/24/98,In Cradle Bay it doesn’t matter if you’re not perfect.  You will be.
The Place Beyond the Pines,3/20/13,If you ride like lightning you're gonna crash like thunder
The November Man,8/27/14,A spy is never out of the game.
Eye of the Beholder,9/4/99,Obsession is in the eye of the beholder.
The Hurt Locker,10/10/08,You'll know when you're in it.
Firestarter,5/11/84,Will she have the power... to survive?
Killing Them Softly,9/20/12,In America you're on your own.
A Most Wanted Man,7/25/14,
Freddy Got Fingered,4/18/01,A touching story of a young man who desperately wants to make his daddy proud.
VeggieTales: The Pirates Who Don't Do Anything,1/11/08,
U2 3D,5/19/07,Hear See Experience
Highlander: Endgame,9/1/00,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one."
Idlewild,8/25/06,
One Day,3/2/11,Twenty years. Two people.
Whip It,9/13/09,Be Your Own Hero
Knockaround Guys,9/7/01,"If they don't finish the job, their fathers will finish them."
Confidence,4/25/03,It's not about the money. It's about the money.
The Muse,8/27/99,In Goddess we trust.
De-Lovely,7/2/04,
New York Stories,3/10/89,"One city, three stories tall."
Barney's Great Adventure,1/1/98,
The Man with the Iron Fists,11/2/12,You can't spell Kung Fu without F and U!
Home Fries,11/25/98,A long shot romance in a short order world.
Here On Earth,3/23/00,
Brazil,2/20/85,It's only a state of mind.
Raise Your Voice,8/10/04,Don't Hold Back ...Don't Give Up.
The Big Lebowski,3/6/98,Times like these call for a Big Lebowski.
Black Snake Moan,12/8/06,To save his soul he must save hers.
Dark Blue,12/14/02,"1992, L.A is at boiling point. One cop's turning up the heat"
A Mighty Heart,1/1/07,One woman dared to keep hope alive
Whatever It Takes,3/31/00,How low will they go to get the girls of their dreams?
Boat Trip,10/1/02,"... once you're on, you'll want to get off..."
The Importance of Being Earnest,5/17/02,Everybody Loves Ernest... But Nobody's Quite Sure Who He Really Is.
The Love Letter,2/1/98,A letter from the past would change their future forever.
Hoot,5/5/06,It's time to stand up for the little guys.
In Bruges,2/8/08,Shoot first. Sightsee later.
Peeples,5/9/13,
The Rocker,8/20/08,Opportunity rocks.
Post Grad,8/21/09,A Pre-Life Crisis.
Promised Land,9/23/12,What's your price?
Whatever Works,6/19/09,A new comedy
The In Crowd,7/19/00,What would you do to get in?
The Three Burials of Melquiades Estrada,11/17/05,Nobody is beyond redemption.
Jakob the Liar,9/16/99,"When all hope was lost, he invented it."
Kiss Kiss Bang Bang,9/5/05,SeX. MurdEr. MyStery. Welcome to the party.
Idle Hands,4/30/99,The touching story of a boy and his right hand.
Mulholland Drive,5/16/01,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.
Blood and Chocolate,1/26/07,The hunt never tasted so sweet.
You Will Meet a Tall Dark Stranger,5/23/10,
Never Let Me Go,9/15/10,These students have everything they need. Except time.
The Company,8/5/07,
Transsiberian,1/18/08,You can't escape your lies.
The Clan of the Cave Bear,1/17/86,"At The Dawn Of Mankind, A Woman Led The Way."
Crazy in Alabama,10/22/99,
Funny Games,10/20/07,Let the games begin...
Listening,9/11/15,Hide your thoughts.
Felicia's Journey,11/24/99,
Metropolis,1/10/27,There can be no understanding between the hands and the brain unless the heart acts as mediator.
District B13,11/9/04,Welcome to District B13. Welcome to the future
Things to Do in Denver When You're Dead,12/1/95,Protect. Love. Honor. Avenge.
The Assassin,8/27/15,
Buffalo Soldiers,9/8/01,War is hell... but peace is f*#!%!! boring.
The Return,6/25/03,
Ong Bak 2,12/4/08,Warrior. Conqueror. Legend.
Centurion,2/15/10,History is written in blood
Silent Trigger,6/26/96,The Terms are Clear. Kill or be Killed.
The Midnight Meat Train,8/7/08,The most terrifying ride you'll ever take
Winnie Mandela,9/16/11,Her courage inspired a nation.
The Son of No One,11/4/11,Serve. Protect. Lie.
All The Queen's Men,10/14/01,
The Good Night,1/25/07,Dreaming is believing.
Bathory: Countess of Blood,7/4/08,
Khumba,7/18/13,"Half a zebra, a whole lot of adventure!"
Automata,10/9/14,Your time is coming to an end – Ours is now beginning
Dungeons & Dragons: Wrath of the Dragon God,1/1/05,
Chiamatemi Francesco - Il Papa della gente,12/3/15,
Shinjuku Incident,3/22/09,They destroyed his life... Now he'll destroy them all.
Pandaemonium,6/29/01,
Groundhog Day,2/11/93,"He's having the worst day of his life... over, and over..."
Magic Mike XXL,7/1/15,Back to the grind.
Romeo + Juliet,10/31/96,My only love sprung from my only hate.
Sarah's Key,9/16/10,
Freedom,8/21/14,John Newton's Amazing Grace
Unforgiven,8/7/92,Some legends will never be forgotten. Some wrongs can never be forgiven.
Manderlay,5/16/05,Liberation. Whether They Want It Or Not.
Slumdog Millionaire,5/12/08,"What does it take to find a lost love? A. Money, B. Luck, C. Smarts, D. Destiny"
Fatal Attraction,9/11/87,A look that led to an evening. A mistake he'll regret...FOR THE REST OF HIS LIFE.
Pretty Woman,3/23/90,Who knew it was so much fun to be a hooker?
Crocodile Dundee II,5/19/88,The world's favourite adventurer is back for more! much more!
Broken Horses,3/15/15,
Born on the Fourth of July,12/20/89,A story of innocence lost and courage found.
Cool Runnings,9/30/93,One dream. Four Jamaicans. Twenty below zero.
My Bloody Valentine,1/16/09,He's gonna break your heart.
Stomp the Yard,5/16/07,He will challenge their traditions. Their traditions will change his life.
The Spy Who Loved Me,7/7/77,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.
Urban Legend,9/25/98,It Happened To Someone Who Knows Someone You Know... You're Next.
Good Deeds,2/23/12,Wesley Deeds is About to Discover the Person He Was Meant to Be.
White Fang,1/18/91,"Where civilization ends, their journey begins."
Superstar,10/8/99,Dare to dream.
The Iron Lady,12/30/11,Never Compromise
Jonah: A VeggieTales Movie,10/4/02,Fresh Fish. Mixed Vegetables.
Poetic Justice,7/23/93,A Street Romance.
All About the Benjamins,3/8/02,Money can make people do funny things.
Vampire in Brooklyn,10/27/95,A comic tale of horror and seduction.
Exorcist II: The Heretic,6/17/77,It's four years later... what does she remember?
An American Haunting,5/5/05,Possession Knows No Bounds
My Boss's Daughter,8/21/03,
A Perfect Getaway,6/8/09,Welcome to paradise. Enter at your own risk.
Our Family Wedding,3/12/10,To have and to hold... 'Til dads do us part.
Dead Man on Campus,8/21/98,
Tea with Mussolini,3/25/99,
Thinner,10/25/96,Let the curse fit the crime.
"New York, New York",6/21/77,
Crooklyn,5/13/94,
I Think I Love My Wife,3/16/07,In marriage no one can hear you scream.
Jason X,7/24/01,Evil has an upgrade.
Bobby,9/5/06,He saw wrong and tried to right it. He saw suffering and tried to heal it. He saw war and tried to stop it.
Head Over Heels,2/2/01,Unleash your inner model.
Fun Size,10/25/12,Some people just can't handle Halloween.
The Diving Bell and the Butterfly,5/22/07,Let your imagination set you free
Little Children,10/6/06,
Gossip,4/21/00,"It can turn you on, or turn on you."
A Walk on the Moon,1/29/99,It was the summer of Woodstock... when she became the woman she always wanted to be.
Catch a Fire,10/27/06,"The spark that ignites us, unites us."
Soul Survivors,9/6/01,
Jefferson in Paris,3/31/95,A powerful man torn between his love for one woman and his secret desire for another.
Easy Virtue,1/1/08,Let's Misbehave!
Caravans,11/2/78,
Mr. Turner,10/31/14,
Wild Grass,5/20/09,
Amen.,2/13/02,Two Men   Two Worlds   One Cause
Reign of Assassins,9/1/10,
The Lucky Ones,9/26/08,
Margaret,9/30/11,
Stan Helsing,10/27/09,The most feared monsters in cinematic history have met their match...
Flipped,8/6/10,You never forget your first love.
Brokeback Mountain,9/2/05,Love is a force of nature.
Clueless,7/19/95,Sex. Clothes. Popularity. Is there a problem here?
Far from Heaven,9/1/02,It's time to stop hiding from the truth.
Hot Tub Time Machine 2,2/20/15,The Laws of Space and Time are About to be Violated.
Quills,11/22/00,There are no bad words... only bad deeds.
Seven Psychopaths,9/7/12,They Won't Take Any Shih Tzu.
The Caveman's Valentine,1/19/01,
Downfall,9/8/04,"April 1945, a nation awaits its...Downfall"
The Sea Inside,9/3/04,Sensitive Drama About a Polemic Theme
Under the Skin,3/14/14,A mysterious seductress preys upon the population of Scotland
"Good Morning, Vietnam",12/23/87,Time to rock it from the Delta to the DMZ!
The Last Godfather,12/29/10,
Justin Bieber: Never Say Never,2/11/11,Find out what's possible if you never give up.
Black Swan,12/2/10,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are."
The Godfather: Part II,12/20/74,"I don't feel I have to wipe everybody out, Tom. Just my enemies."
Save the Last Dance,1/12/01,The Only Person You Need To Be Is Yourself.
A Nightmare on Elm Street 4: The Dream Master,8/19/88,Terror beyond your wildest dreams.
Miracles from Heaven,3/17/16,How do we explain the impossible?
"Dude, Where’s My Car?",12/15/00,"After a night they can't remember, comes a day they'll never forget."
Young Guns,8/12/88,Six reasons why the west was wild.
St. Vincent,10/9/14,Love Thy Neighbor
About Last Night,2/14/14,It's about compromise. It's about love. It's about a good wingman.
10 Things I Hate About You,3/30/99,How do I loathe thee? Let me count the ways.
The New Guy,5/10/02,A zero will rise.
National Lampoon's Loaded Weapon 1,2/4/93,See it before they make the sequel!
The Shallows,6/24/16,What was once in the deep is now in the shallows.
The Butterfly Effect,1/22/04,"Such minor changes, such huge consequences."
Snow Day,2/11/00,Roads closed. Schools shut. Rules were made to be frozen!
This Christmas,11/27/07,You can't exchange family.
Baby Geniuses,3/12/99,Think innocent. Think helpless. Think again. Naps are history.
The Big Hit,4/24/98,Nothing's more dangerous than some nice guys... with a little time to kill.
Harriet the Spy,7/10/96,On your case!
Child's Play 2,11/9/90,Look out Jack! Chucky's back!
No Good Deed,9/10/14,First he gets into your house. Then he gets into your head.
The Mist,11/21/07,"Belief divides them, mystery surrounds them, but fear changes everything."
Ex Machina,1/21/15,There is nothing more human than the will to survive
Being John Malkovich,9/30/99,Ever wanted to be someone else? Now you can.
Two Can Play That Game,9/7/01,
Earth to Echo,6/14/14,No one will ever believe our story.
Crazy/Beautiful,6/29/01,When it's real. When it's right. Don't let anything stand in your way.
Letters from Iwo Jima,12/19/06,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.
The Astronaut Farmer,10/15/06,
Woo,5/8/98,It's Woo's world.. we're just living in it.
Room,10/16/15,Love knows no boundaries
Dirty Work,6/12/98,Revenge is a dish best served DIRTY.
Serial Mom,4/13/94,"Every Mom Wants to Be Wanted, But Not For Murder One!"
Dick,8/4/99,The unmaking of the president
Light It Up,11/4/99,
54,8/28/98,You've never been anywhere until you've been here
Bubble Boy,8/24/01,Life is an adventure. Don't blow it.
Birthday Girl,9/6/01,
21 & Over,3/1/13,Finally.
"Paris, je t'aime",5/16/06,Fall in love with Paris 18 times.
Resurrecting the Champ,6/14/07,
Admission,3/21/13,Let someone in.
The Widow of Saint-Pierre,1/1/00,
Chloe,3/25/09,"If the one you love was lying to you, how far would you go to find out the truth?"
Faithful,4/3/96,"A comedy about a wife, her husband and his hit man."
Find Me Guilty,3/16/06,
The Perks of Being a Wallflower,9/20/12,We are infinite.
Excessive Force,5/14/93,You have the right to remain silent... permanently.
Infamous,11/16/06,There's more to the story than you know
The Claim,12/29/00,Everything has a price.
The Vatican Tapes,7/24/15,"For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls."
Attack the Block,5/12/11,Inner City vs. Outer Space
In the Land of Blood and Honey,12/23/11,Love can change what we want… war can change who we are
The Call,3/14/13,There are 188 million 911 calls a year. This one made it personal.
Operation Chromite,7/27/16,The Odds Were 5000 to 1 … One was all They Needed.
The Crocodile Hunter: Collision Course,7/26/02,His First Big-Screen Adventure!
I Love You Phillip Morris,1/18/09,The Conman who wouldn't go straight.
Quest for Fire,12/15/81,
Antwone Fisher,12/19/02,Antwone Fisher is at war... with himself.
The Emperor's Club,11/22/02,In everyone's life there's that one person who makes all the difference.
True Romance,9/9/93,"Stealing, Cheating, Killing. Who said romance was dead?"
Womb,7/15/10,What are the consequences of giving birth to your dead boyfriend?
Glengarry Glen Ross,9/15/92,Lie. Cheat. Steal. All in a day’s work.
The Killer Inside Me,2/19/10,Nobody See's It Coming
Cat People,4/2/82,They are something more than lovers who are about to become something less than human.
Sorority Row,9/9/09,The Sisters of Theta Pi Are Dying To Keep a Secret.
The Prisoner of Zenda,9/3/37,The most thrilling swordfight ever filmed...
Lars and the Real Girl,10/12/07,The search for true love begins outside the box.
The Boy in the Striped Pyjamas,5/7/08,"Lines may divide us, but hope will unite us."
Dancer in the Dark,5/17/00,You don't need eyes to see.
Oscar and Lucinda,12/31/97,"They dared to play the game of love, faith, and chance."
The Funeral,1/26/96,"One family, one murder, too many lies."
Solitary Man,9/7/09,Ben loves his family almost as much as he loves himself
Machete,9/1/10,He was given an offer he couldn't refuse...
Casino Jack,9/16/10,Honor. Integrity. Principles. Everything is negotiable.
The Land Before Time,11/18/88,A new adventure is born.
Tae Guk Gi: The Brotherhood of War,2/5/04,
The Perfect Game,4/1/10,Dream for the fences.
The Exorcist,12/26/73,"Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist."
Jaws,6/18/75,Don't go in the water.
American Pie,7/9/99,There's nothing like your first piece.
Ernest & Celestine,12/12/12,"Bonnie and Clyde, Sid and Nancy..."
The Golden Child,12/12/86,Eddie Murphy is the chosen one.
Think Like a Man,4/16/12,Let the mind games begin.
Barbershop,4/1/02,Everyone's gettin' lined up.
Star Trek II: The Wrath of Khan,6/3/82,At the end of the universe lies the beginning of vengeance.
Ace Ventura: Pet Detective,2/4/94,"He's the best there is! (Actually, he's the only one there is.)"
WarGames,6/3/83,"Is it a game, or is it real?"
Witness,2/8/85,A big city cop. A small country boy. They have nothing in common... but a murder.
Act of Valor,2/24/12,The only easy day was yesterday
Step Up,8/11/06,Every Second Chance Begins With a First Step
Beavis and Butt-Head Do America,12/15/96,Coming to a screen bigger than your TV.
Jackie Brown,12/24/97,Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?
Harold & Kumar Escape from Guantanamo Bay,4/25/08,This time they're running from the joint.
Chronicle,2/1/12,What are you capable of?
Yentl,11/18/83,
Time Bandits,7/13/81,All the dreams you've ever had and not just the good ones.
Crossroads,2/15/02,Dreams change. Friends are forever
Project X,3/1/12,Witness it
Patton,1/25/70,The Rebel Warrior
One Hour Photo,8/21/02,The things that we fear the most have already happened to us...
Quarantine,10/10/08,Contain The Truth.
The Eye,2/1/08,How can you believe your eyes when they're not yours?
Johnson Family Vacation,4/7/04,Take the ride.
How High,12/21/01,They've got their degrees all rolled up.
The Muppet Christmas Carol,12/10/92,
Frida,8/29/02,Prepare to be seduced
Katy Perry: Part of Me,6/28/12,Be yourself and you can be anything
The Fault in Our Stars,5/16/14,One Sick Love Story
Rounders,9/11/98,Trust everyone... But always cut the cards.
Top Five,12/12/14,
Prophecy,1/1/79,
Stir of Echoes,9/10/99,In every mind there is a door that should never be opened.
Philomena,11/1/13,These two unlikely companions are on a journey to find her long lost son.
The Upside of Anger,1/23/05,Sometimes what tears us apart helps us put it back together.
The Boys from Brazil,10/5/78,If they survive...will we?
Aquamarine,3/3/06,A Fish-Out-Of-Water Comedy.
Paper Towns,6/18/15,Get Lost. Get Found.
My Baby's Daddy,1/9/04,
Nebraska,9/21/13,Life's not about winning or losing. It's about how you get there in the end.
Tales from the Crypt: Demon Knight,1/13/95,Ready for your deadtime story?
Max Keeble's Big Move,10/5/01,His World. His Rules.
Young Adult,12/16/11,Everyone gets old. Not everyone grows up.
Crank,8/31/06,"There are a thousand ways to raise your adrenaline. Today, Chev Chelios will need every single one."
Def Jam's How to Be a Player,8/6/97,
Living Out Loud,10/30/98,
Just Wright,5/14/10,In this game every shot counts.
Rachel Getting Married,10/3/08,
The Postman Always Rings Twice,3/20/81,You Will Feel The Heat
Girl with a Pearl Earring,8/31/03,Discover the mystery behind the legend.
Das Boot,9/16/81,When the hunters become the hunted
Sorority Boys,3/22/02,
About Time,8/16/13,What if every moment in life came with a second chance?
House of Flying Daggers,5/19/04,
Arbitrage,9/14/12,Power is the best alibi.
Project Almanac,1/30/15,Today is better the second time around
Cadillac Records,12/5/08,
Screwed,5/12/00,
Fortress,9/30/92,The high-tech prison thirty stories below ground. Built to withstand anything... Execpt an innocent man.
For Your Consideration,11/22/06,
Celebrity,9/7/98,A funny look at people who will do anything to get famous... or stay famous.
Running with Scissors,10/27/06,Ever have one of those lives?
From Justin to Kelly,6/20/03,The tale of two American Idols.
Girl 6,3/22/96,"A fresh, sassy and sexy comedy!"
In the Cut,9/9/03,Everything you know about desire is dead wrong.
Two Lovers,11/19/08,
Last Orders,9/10/01,
The Host,7/27/06,Monsters are real.
The Pursuit of D.B. Cooper,11/13/81,Who says you can't take it with you?
Ravenous,3/16/99,You Are Who You Eat
Charlie Bartlett,2/22/08,Popularity is a state of mind.
The Great Beauty,5/21/13,
The Dangerous Lives of Altar Boys,6/14/02,
Stoker,2/28/13,Innocence Ends.
2046,5/20/04,Are you still in the mood for love?
Married Life,9/12/07,
Duma,4/22/05,Some friendships are wilder than others
Ondine,9/14/09,The truth is not what you know. It's what you believe.
Brother,9/9/00,Are You Japanese?
Welcome to Collinwood,5/24/02,Five guys. One safe. No brains.
Critical Care,10/31/97,
The Life Before Her Eyes,9/8/07,Your life can change in an instant. That instant can last forever.
Darling Companion,4/20/12,
Trade,1/23/07,"Each year, more than 1,000,000 people are trafficked across international borders... against their will."
Fateless,2/10/05,You can close your eyes. You can turn away. But you will never forget.
Breakfast of Champions,2/13/99,
"A Woman, a Gun and a Noodle Shop",12/11/09,
Cypher,10/1/02,Never forget who you are
City of Life and Death,4/22/09,
Legend of a Rabbit,1/1/11,From zero to hero.
Space Battleship Yamato,12/1/10,
5 Days of War,4/14/11,Their only weapon is the truth.
Triangle,10/16/09,A Passage to Hell
10 Days in a Madhouse,11/20/15,
Heaven is for Real,4/16/14,Unlock the mystery
Snatch,9/1/00,Stealin' Stones and Breakin' Bones.
Dancin' It's On,10/16/15,Dancin' Like You've Never Seen Before
Pet Sematary,4/21/89,Sometimes dead is better.
Madadayo,4/17/93,
The Cry of the Owl,2/7/09,What would you do if someone was watching you?
A Tale of Three Cities,8/28/15,
Gremlins,6/7/84,"Don't get him wet, keep him out of bright light, and never feed him after midnight."
Star Wars,5/25/77,"A long time ago in a galaxy far, far away..."
Dirty Grandpa,1/21/16,This is Jason. He's a little worried about his grandpa.
Doctor Zhivago,12/22/65,"Turbulent were the times and fiery was the love story of Zhivago, his wife and the passionate, tender Lara."
Trash,10/9/14,You never know what you might find
High School Musical 3: Senior Year,10/22/08,
The Fighter,12/17/10,Every dream deserves a fighting chance.
Jackass Number Two,9/22/06,Guess who just made number two?
My Cousin Vinny,3/13/92,"Truth, Justice and the Gambini Way"
If I Stay,8/21/14,Live for Love.
Drive Hard,5/26/14,One Hell of A Ride
Major League,2/16/89,A comedy with bats and balls.
St. Trinian's,12/21/07,Taking higher education to a new low.
Phone Booth,9/9/02,No options. No lies. No fear. No deals. Just keep talking.
A Walk to Remember,1/25/02,She didn't belong. She was misunderstood. And she would change him forever.
Dead Man Walking,12/29/95,
Cruel Intentions,3/5/99,"In the game of seduction, There is only one rule: Never fall in love."
Saw VI,10/22/09,The Game Has Come Full Circle
History of the World: Part I,6/12/81,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!"
The Secret Life of Bees,9/17/08,"Bring Your Girlfriends, Sisters, Mothers and Daughters."
